regiao,variavel_climatica,lag_semanas,municipios_total,municipios_correlacao_valida,observacoes_validas_mediana,correlacao_media,correlacao_mediana,correlacao_p10,correlacao_p25,correlacao_p75,correlacao_p90,proporcao_correlacao_positiva,proporcao_correlacao_negativa
Centro-Oeste,precipitacao_total_mm,4,468.0,468.0,518.0,0.23014737326915277,0.22375928299286738,0.10945139900714726,0.1630236806392675,0.29365793975706245,0.35438488839307136,0.9957264957264957,0.004273504273504274
Norte,temperatura_media_c,6,450.0,450.0,516.0,-0.09976182165324067,-0.10106637695402257,-0.2501362896805235,-0.18538787178805785,-0.004253693881491761,0.04327647727371535,0.2288888888888889,0.7711111111111111
Nordeste,temperatura_media_c,6,1793.0,1793.0,516.0,-0.02871631879269101,-0.03751897281969175,-0.2164600723167042,-0.1338050778097132,0.07534998106555885,0.1814380456521886,0.4088120468488567,0.5911879531511434
Sudeste,temperatura_media_c,6,1668.0,1668.0,516.0,0.2491440785718733,0.2490634196254875,0.14381533697394558,0.19484839755312172,0.3054050104477025,0.35662979038229536,0.9952038369304557,0.004796163069544364
Sul,temperatura_media_c,6,1191.0,1181.0,516.0,0.2017484209218716,0.20588562291054566,0.08226461652982095,0.13932823639713104,0.26615017902088406,0.31715235709408973,0.9889923793395428,0.01100762066045724
Centro-Oeste,temperatura_media_c,6,468.0,468.0,516.0,0.017516726208748785,0.020083415037616684,-0.15480763235175682,-0.054749273264094366,0.092819209275191,0.1948122876764691,0.5662393162393162,0.4337606837606838
Norte,umidade_relativa_media_pct,6,450.0,450.0,516.0,0.16009732458057502,0.15950719428807103,0.004064483095287612,0.06422232784125506,0.24084755592519685,0.3163454033940775,0.9088888888888889,0.09111111111111111
Nordeste,umidade_relativa_media_pct,6,1793.0,1793.0,516.0,0.180673093579959,0.17452500877793298,0.0459657962192764,0.108495578159106,0.2503665357734024,0.31607428866679127,0.9682097044060234,0.03179029559397657
Sudeste,umidade_relativa_media_pct,6,1668.0,1668.0,516.0,0.17756817505351685,0.16741031105258616,0.04540998956699108,0.09898215255285303,0.24956653488996655,0.3195668822473644,0.9748201438848921,0.025179856115107913
Sul,umidade_relativa_media_pct,6,1191.0,1181.0,516.0,0.032332062362035736,0.029204747345660892,-0.0453934348770933,-0.009236871721210295,0.06954146502476447,0.11610191139994043,0.6968670618120237,0.30313293818797626
Centro-Oeste,umidade_relativa_media_pct,6,468.0,468.0,516.0,0.311312657796054,0.3096785774997799,0.15250687910846736,0.22196291845838398,0.39682010465402373,0.47354634260927836,0.9957264957264957,0.004273504273504274
Norte,precipitacao_total_mm,6,450.0,450.0,516.0,0.1774922221237739,0.17824274719824007,0.031439201700267,0.09004118377528172,0.25050602488536977,0.32014453127252834,0.9488888888888889,0.051111111111111114
Nordeste,precipitacao_total_mm,6,1793.0,1793.0,516.0,0.1713227598574326,0.16533930789273693,0.06487995799538049,0.11078419253709816,0.22666931565246928,0.28644580469286157,0.9888455103179029,0.011154489682097044
Sudeste,precipitacao_total_mm,6,1668.0,1668.0,516.0,0.17338995060968437,0.17154915500063342,0.0801029244270887,0.1242962888180143,0.22066149225108828,0.2694221753522742,0.9910071942446043,0.008992805755395683
Sul,precipitacao_total_mm,6,1191.0,1181.0,516.0,0.04759970917680433,0.046262090453123794,-0.013460138203931455,0.017229929333125452,0.07663870889372348,0.10909276031679488,0.8535139712108383,0.14648602878916173
Centro-Oeste,precipitacao_total_mm,6,468.0,468.0,516.0,0.2726976450663591,0.2677005956900001,0.14337662343197766,0.19794231003257384,0.34089855006279945,0.4107243328326969,0.9978632478632479,0.002136752136752137
Norte,temperatura_media_c,8,450.0,450.0,514.0,-0.07565455312458638,-0.08071719736873195,-0.22821523539909175,-0.16066963086938946,0.015264255478677925,0.07164691837926149,0.30666666666666664,0.6933333333333334
Nordeste,temperatura_media_c,8,1793.0,1793.0,514.0,-0.0025918611496993987,-0.008245265137857581,-0.198932761076961,-0.11176240789589091,0.10848409070178841,0.20845143670225852,0.4796430563301729,0.5203569436698271
Sudeste,temperatura_media_c,8,1668.0,1668.0,514.0,0.27742679876290155,0.2762648011596977,0.1780254054252962,0.22540296479299698,0.3306273881904438,0.3800780051966728,0.9988009592326139,0.001199040767386091
Sul,temperatura_media_c,8,1191.0,1181.0,514.0,0.23579438364573765,0.24095859407837283,0.09301361927922035,0.16212479152135012,0.3112333507859874,0.36812235400717563,0.9932260795935648,0.006773920406435224
Centro-Oeste,temperatura_media_c,8,468.0,468.0,514.0,0.055322098055963234,0.056228037161099996,-0.12431262779987783,-0.02274711106332429,0.1384016408097284,0.23974939142757826,0.6816239316239316,0.31837606837606836
Norte,umidade_relativa_media_pct,8,450.0,450.0,514.0,0.1374503068025423,0.13830569512664445,-0.02649308044450235,0.03403999928855211,0.21834766110298415,0.3080424704265641,0.8533333333333334,0.14666666666666667
Nordeste,umidade_relativa_media_pct,8,1793.0,1793.0,514.0,0.16531926916076767,0.1602678685484378,0.024643930595613806,0.08573123518668974,0.2389350279204288,0.3120749134575448,0.9380925822643614,0.0619074177356386
Sudeste,umidade_relativa_media_pct,8,1668.0,1668.0,514.0,0.17481215987166113,0.16709333252675138,0.03632928051637185,0.08992033798840801,0.24928405560761344,0.32740792936093327,0.9634292565947242,0.03657074340527578
Sul,umidade_relativa_media_pct,8,1191.0,1181.0,514.0,0.015245924699416047,0.014175206329069729,-0.07829970272994403,-0.031526824197019895,0.060438053288272675,0.11042792664332336,0.5808636748518204,0.4191363251481795
Centro-Oeste,umidade_relativa_media_pct,8,468.0,468.0,514.0,0.30744362160790956,0.30532791320087943,0.1382610282741369,0.20481716073766815,0.39465798499678645,0.48125095489782077,0.9935897435897436,0.00641025641025641
Norte,precipitacao_total_mm,8,450.0,450.0,514.0,0.1655327272936917,0.16428431141088515,0.017868292172044404,0.072734918375821,0.24104208694597717,0.32823179118691503,0.9377777777777778,0.06222222222222222
Nordeste,precipitacao_total_mm,8,1793.0,1793.0,514.0,0.17246361312968078,0.16566800243597382,0.057768505024191855,0.10593489910152883,0.23154900674506987,0.29384314443766996,0.9827105409927496,0.01728945900725042
Sudeste,precipitacao_total_mm,8,1668.0,1668.0,514.0,0.20187531600667794,0.2007695164062635,0.10340944482347968,0.1492900103565725,0.2541814827573961,0.3024253192881567,0.9952038369304557,0.004796163069544364
Sul,precipitacao_total_mm,8,1191.0,1181.0,514.0,0.052243324261941886,0.04517101990719635,-0.014141953129656633,0.014312947073809569,0.08620489235067588,0.13082262726500388,0.842506350550381,0.15749364944961897
Centro-Oeste,precipitacao_total_mm,8,468.0,468.0,514.0,0.2984655186677203,0.29430340779215663,0.1507380688677707,0.21655459952556133,0.37259292468631566,0.44785289256826566,0.9978632478632479,0.002136752136752137
