ano_epidemiologico,codigo_uf_ibge,nome_uf_ibge,regiao,casos_provaveis,populacao_uf,unidades_territoriais,unidades_territoriais_com_casos,incidencia_anual_100mil,proporcao_unidades_com_casos,participacao_casos_nacional_ano
2023,29,Bahia,Nordeste,47692,14141626,417,394,337.24551900891737,0.9448441247002398,0.028975434187998878
2023,31,Minas Gerais,Sudeste,406525,20539989,853,824,1979.1880122233756,0.9660023446658851,0.2469856240727217
2023,32,Espírito Santo,Sudeste,136925,3833712,78,78,3571.6037094074877,1.0,0.08318924193138778
2023,33,Rio de Janeiro,Sudeste,49951,16055174,92,92,311.1208885060978,1.0,0.030347897197113394
2023,35,São Paulo,Sudeste,336877,44411238,645,634,758.5399893603507,0.9829457364341085,0.20467074861508214
2023,41,Paraná,Sul,209568,11444380,399,382,1831.1870105676323,0.9573934837092731,0.12732373966096094
2023,42,Santa Catarina,Sul,141441,7610361,295,227,1858.5320722630636,0.7694915254237288,0.08593295284292438
2023,43,Rio Grande do Sul,Sul,38705,10882965,497,349,355.64756479507196,0.7022132796780685,0.023515352265505673
2023,50,Mato Grosso do Sul,Centro-Oeste,45238,2757013,79,79,1640.8337574033926,1.0,0.027484498276371158
2023,51,Mato Grosso,Centro-Oeste,28606,3658649,141,140,781.873308972793,0.9929078014184397,0.017379671022014088
2023,52,Goiás,Centro-Oeste,71206,7056495,246,246,1009.0845384287809,1.0,0.04326144357105276
2023,53,Distrito Federal,Centro-Oeste,40841,2817381,1,1,1449.6086968713141,1.0,0.024813086213034935
2024,11,Rondônia,Norte,5247,1746227,52,52,300.4763985438319,1.0,0.0007992512902721659
2024,12,Acre,Norte,6263,880631,22,22,711.1945866089202,1.0,0.000954013880498299
2024,13,Amazonas,Norte,8687,4281209,62,58,202.90997239331224,0.9354838709677419,0.0013232506115102543
2024,14,Roraima,Norte,705,716793,15,15,98.35475513851279,1.0,0.00010738939577699199
2024,15,Pará,Norte,21054,8664306,144,140,242.99695786367658,0.9722222222222222,0.0032070586364379987
2024,16,Amapá,Norte,10691,802837,16,16,1331.6526268719554,1.0,0.0016285106812082572
2024,17,Tocantins,Norte,4259,1577342,139,132,270.011196050064,0.9496402877697842,0.0006487538108002962
2024,21,Maranhão,Nordeste,11354,7010960,217,216,161.94643814827072,0.9953917050691244,0.001729502410853854
2024,22,Piauí,Nordeste,15100,3375646,224,208,447.32178670393756,0.9285714285714286,0.0023001132996206793
2024,23,Ceará,Nordeste,12553,9233656,184,180,135.94831776275834,0.9782608695652174,0.0019121405463667807
2024,24,Rio Grande do Norte,Nordeste,17477,3446071,167,164,507.1572814373238,0.9820359281437125,0.0026621907375808354
2024,25,Paraíba,Nordeste,14580,4145040,223,220,351.7457008858781,0.9865470852017937,0.002220904099898643
2024,26,Pernambuco,Nordeste,22230,9539029,185,185,233.04258745832513,1.0,0.0033861932881170662
2024,27,Alagoas,Nordeste,17902,3220104,102,102,555.9447769388815,1.0,0.0027269290258151923
2024,28,Sergipe,Nordeste,1916,2291077,75,70,83.62879117550392,0.9333333333333333,0.00029185543589888886
2024,29,Bahia,Nordeste,232421,14850513,417,417,1565.07051305231,1.0,0.03540361809345284
2024,31,Minas Gerais,Sudeste,1658506,21322691,853,853,7778.127066607119,1.0,0.2526325634503771
2024,32,Espírito Santo,Sudeste,138123,4102129,78,78,3367.10522755379,1.0,0.02103963902539782
2024,33,Rio de Janeiro,Sudeste,302201,17219679,92,92,1754.9746426748143,1.0,0.04603288339461384
2024,35,São Paulo,Sudeste,2181868,45973194,645,645,4745.956959179299,1.0,0.3323538811136935
2024,41,Paraná,Sul,647802,11824665,399,398,5478.396216721573,0.9974937343358395,0.09867668845833612
2024,42,Santa Catarina,Sul,334892,8058441,295,282,4155.791424172492,0.9559322033898305,0.051012552525600566
2024,43,Rio Grande do Sul,Sul,224767,11229915,497,474,2001.5022375503288,0.9537223340040242,0.03423771960369809
2024,50,Mato Grosso do Sul,Centro-Oeste,18887,2901895,79,79,650.8505648894946,1.0,0.0028769695291348193
